Talker,Vowel,Token,Trial,Location,Quantity,F1,F2,F0
ref_yw_1,ee1,1,25,20,long,426.99026160671,2571.61902274252,210
ref_yw_1,ee1,1,25,35,long,417.221537505938,2795.75895789761,210
ref_yw_1,ee1,1,25,50,long,407.218824477296,2847.54745064749,210
ref_yw_1,ee1,1,25,65,long,423.057750700449,2760.98392174083,210
ref_yw_1,ee1,1,25,80,long,608.402001652719,2284.52780255534,210
ref_yw_1,ee1,2,26,20,long,404.227439931504,2682.46226918475,NA
ref_yw_1,ee1,2,26,35,long,403.674303507686,2673.58096884305,NA
ref_yw_1,ee1,2,26,50,long,477.127152472532,2465.345141598,NA
ref_yw_1,ee1,2,26,65,long,652.705761316847,2097.25895056588,NA
ref_yw_1,ee1,2,26,80,long,785.287256282948,1710.77726940767,NA
ref_yw_3,oah1,6,228,20,short,615.485628234283,1172.48309430524,212
ref_yw_3,oah1,6,228,35,short,589.581580476448,1059.8349616964,212
ref_yw_3,oah1,6,228,50,short,577.758463513185,1015.94012197237,212
ref_yw_3,oah1,6,228,65,short,574.472481107593,1072.07042504949,212
ref_yw_3,oah1,6,228,80,short,543.116390561498,1187.09107547639,212
ref_yw_3,9,2,233,20,short,446.042295262081,1502.60873396733,NA
ref_yw_3,9,2,233,35,short,444.419220870359,1413.72241810187,NA
ref_yw_3,9,2,233,50,short,431.399188376556,1425.82169786081,NA
ref_yw_3,9,2,233,65,short,430.982570835784,1482.90551704538,NA
ref_yw_3,9,2,233,80,short,442.029128951496,1574.9307910676,NA
ref_ym_1,eh1,3,57,20,short,608.667619835065,1644.16686036742,NA
ref_ym_1,eh1,3,57,35,short,621.372039964368,1668.61168009207,NA
ref_ym_1,eh1,3,57,50,short,629.970826524383,1674.59395592666,NA
ref_ym_1,eh1,3,57,65,short,691.822447156788,1616.65238095639,NA
ref_ym_1,eh1,3,57,80,short,658.452257043039,1489.66909588318,NA